prenoms;nombre;sexe;annee
Mila;18;F;2004
Milan;17;M;2004
Milla;11;F;2004
Milo;31;M;2004
Mina;15;F;2004
Mohamed;150;M;2004
Mohamed-Ali;7;M;2004
Mohamed-Amine;7;M;2004
Mohammed;18;M;2004
Moïse;7;M;2004
Mona;22;F;2004
Morgan;6;M;2004
Morgane;48;F;2004
Mory;6;M;2004
Moussa;37;M;2004
Moustapha;9;M;2004
Myriam;49;F;2004
Nabil;9;M;2004
Nada;12;F;2004
Nadia;7;F;2004
Nadine;10;F;2004
Nadir;11;M;2004
Nael;6;M;2004
Naël;14;M;2004
Naïla;7;F;2004
Naïm;9;M;2004
Naomi;28;F;2004
Naomie;19;F;2004
Nassim;27;M;2004
Natacha;14;F;2004
Natalia;6;F;2004
Nathalie;10;F;2004
Nathan;158;M;2004
Nathanaël;17;M;2004
Nawel;13;F;2004
Naya;6;F;2004
Nayla;6;F;2004
Neil;10;M;2004
Nell;11;F;2004
Nelly;8;F;2004
Nelson;9;M;2004
Nesrine;6;F;2004
Nicolas;163;M;2004
Nicole;7;F;2004
Niels;15;M;2004
Nikita;6;M;2004
Nikola;10;M;2004
Nils;32;M;2004
Nina;94;F;2004
Nine;7;F;2004
Nino;20;M;2004
Ninon;29;F;2004
Niouma;6;F;2004
Nizar;7;M;2004
Noa;72;F;2004
Noah;80;M;2004
Noam;38;M;2004
Noe;96;M;2004
Noemie;78;F;2004
Noha;7;X;2004
Nolan;24;M;2004
Noor;11;F;2004
Nora;12;F;2004
Norah;7;F;2004
Nour;29;F;2004
Oceane;81;F;2004
Octave;17;M;2004
Odelia;6;F;2004
Olga;10;F;2004
Olivia;28;F;2004
Olivier;34;M;2004
Olympe;6;F;2004
Omar;24;M;2004
Ombeline;9;F;2004
Ophelie;11;F;2004
Oren;6;M;2004
Oriane;21;F;2004
Orlane;10;F;2004
Ornella;14;F;2004
Oscar;83;M;2004
Oumar;14;M;2004
Oumou;14;F;2004
Ousmane;12;M;2004
Oussama;6;M;2004
Owen;16;M;2004
Pablo;40;M;2004
Paco;6;M;2004
Paloma;24;F;2004
Paola;10;F;2004
Paolo;14;M;2004
Pascal;11;M;2004
Patricia;6;F;2004
Patrick;10;M;2004
Paul;294;M;2004
Paula;7;F;2004
Paul-Antoine;7;M;2004
Paulin;8;M;2004
Pauline;122;F;2004
Penelope;20;F;2004
Perle;6;F;2004
Perrine;13;F;2004
Philippe;22;M;2004
Philippine;26;F;2004
Philomène;12;F;2004
Pia;16;F;2004
Pierre;133;M;2004
Pierre-Antoine;7;M;2004
Pierre-Louis;13;M;2004
Priscille;9;F;2004
Prune;16;F;2004
Quentin;125;M;2004
Rachel;33;F;2004
Rafael;17;M;2004
Rafaël;7;M;2004
Rahma;8;F;2004
Rami;6;M;2004
Ramy;6;M;2004
Rania;28;F;2004
Raphael;11;M;2004
Raphaël;280;M;2004
Raphaëlle;23;F;2004
Rayan;140;M;2004
Rayane;57;M;2004
Rebecca;21;F;2004
Reda;6;M;2004
Remi;36;M;2004
Remy;13;M;2004
Richard;10;M;2004
Rim;9;F;2004
Robin;52;M;2004
Robinson;9;M;2004
Rodrigue;7;M;2004
Romain;133;M;2004
Roman;32;M;2004
Romane;98;F;2004
Romeo;25;M;2004
Romy;9;F;2004
Ronan;10;M;2004
Rosalie;22;F;2004
Rose;51;F;2004
Roxane;35;F;2004
Roxanne;9;F;2004
Ruben;61;M;2004
Rudy;7;M;2004
Ryad;10;M;2004
Ryan;41;M;2004
Sabri;7;M;2004
Sabrina;31;F;2004
Sabrine;13;F;2004
Sacha;136;M;2004
Sadio;6;F;2004
Safa;6;F;2004
Saïd;7;M;2004
Salim;9;M;2004
Salimata;9;F;2004
Salma;28;F;2004
Salome;78;F;2004
